Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
N7,FALSE,Bd_sup_pel_2_T18,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
N8,FALSE,Bd_sup_pel_3_T18,1,Unknown,SYBR,32.394966,0.9533296327937750,,Amp,FALSE,0,0,71.329346,,,,,
N9,FALSE,0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,90.174355,,,,,
N10,FALSE,Bd_P__pel_1_T12,1,Unknown,SYBR,27.340868,0.43784613470831900,,Amp,FALSE,0,0,73.34885,,,,,
N11,FALSE,Bd_P__pel_2_T12,1,Unknown,SYBR,27.868736,0.5393447524727020,,Amp,FALSE,0,0,73.34885,,,,,
N12,FALSE,Bd_P__pel_3_T12,1,Unknown,SYBR,29.40621,0.9661777526921520,,Amp,FALSE,0,0,73.23667,,,,,
N13,FALSE,Bd_P__nanopore_1_T24,1,Unknown,SYBR,27.755745,0.9629745909508840,,Amp,FALSE,0,0,73.23563,,,,,
N14,FALSE,Bd_P__nanopore_2_T24,1,Unknown,SYBR,27.68906,0.9611908449985750,,Amp,FALSE,0,0,73.23563,,,,,
N15,FALSE,Bd_P__nanopore_3_T24,1,Unknown,SYBR,26.703955,0.8737209499501820,,Amp,FALSE,0,0,73.23563,,,,,
N16,FALSE,Bd_P__nanopore_4_T24,1,Unknown,SYBR,26.569576,0.9304379901869330,,Amp,FALSE,0,0,73.23563,,,,,
N17,FALSE,Bd_P__nanopore_5_T24,1,Unknown,SYBR,27.534836,0.9713053560124910,,Amp,FALSE,0,0,73.23863,,,,,
N18,FALSE,Bd_sup_pel_P_1_T24,1,Unknown,SYBR,27.288868,0.9619002930156980,,Amp,FALSE,0,0,73.23863,,,,,
N19,FALSE,Bd_sup_pel_P_2_T24,1,Unknown,SYBR,25.855225,0.8733845196185140,,Amp,FALSE,0,0,73.23863,,,,,
N20,FALSE,Bd_sup_pel_P_3_T24,1,Unknown,SYBR,26.369942,0.844923910223078,,Amp,FALSE,0,0,73.35082,,,,,
N21,FALSE,std_-11,1,Unknown,SYBR,37.830772,0.8576522565755050,,Inconclusive,FALSE,0,0,72.67785,,,,,
N22,FALSE,Bd_P__pel_1_T36,1,Unknown,SYBR,26.677853,0.35492887651427000,,Amp,FALSE,0,0,73.57538,,,,,
N23,FALSE,Bd_P__pel_2_T36,1,Unknown,SYBR,26.527414,0.42951041986087200,,Amp,FALSE,0,0,73.57538,,,,,
N24,FALSE,Bd_P__pel_3_T36,1,Unknown,SYBR,26.82732,0.40839869023154400,,Amp,FALSE,0,0,73.57538,,,,,
O1,FALSE,Bd_P__nanopore_1_T18,1,Unknown,SYBR,26.16561,0.8747123291993530,,Amp,FALSE,0,0,73.462006,,,,,
O2,FALSE,Bd_P__nanopore_2_T18,1,Unknown,SYBR,25.699856,0.7104880341235520,,Amp,FALSE,0,0,73.34982,,,,,
