Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
C3,FALSE,Bv+P_DNase_3_T24,Target 1,Unknown,SYBR,32.563686,0.5930375254254440,,No Amp,FALSE,0,0,,,,,
C4,FALSE,Bd+P_DNase_1_T24,Target 1,Unknown,SYBR,19.12232,0,,Amp,FALSE,0,0,,,,,
C5,FALSE,Bd+P_DNase_2_T24,Target 1,Unknown,SYBR,20.369911,0,,Amp,FALSE,0,0,,,,,
C6,FALSE,Bd+P_DNase_3_T24,Target 1,Unknown,SYBR,28.642496,0.598708084749663,,Amp,FALSE,0,0,,,,,
C7,FALSE,media_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C8,FALSE,media_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C9,FALSE,media_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C10,FALSE,media+P_1_T24,Target 1,Unknown,SYBR,32.016064,0.9274754437080180,,Amp,FALSE,0,0,,,,,
C11,FALSE,media+P_2_T24,Target 1,Unknown,SYBR,31.337109,0.9520706537712400,,Amp,FALSE,0,0,,,,,
C12,FALSE,media+P_3_T24,Target 1,Unknown,SYBR,31.89787,0.9841050011695590,,Amp,FALSE,0,0,,,,,
C13,FALSE,Bv+P_DNase_1_T36,Target 1,Unknown,SYBR,32.398575,0.262550168378292,,No Amp,FALSE,0,0,,,,,
C14,FALSE,Bv+P_DNase_2_T36,Target 1,Unknown,SYBR,33.066532,0.39948379357835300,,No Amp,FALSE,0,0,,,,,
C15,FALSE,Bv+P_DNase_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C16,FALSE,Bd+P_DNase_1_T36,Target 1,Unknown,SYBR,21.35131,0,,Amp,FALSE,0,0,,,,,
C17,FALSE,Bd+P_DNase_2_T36,Target 1,Unknown,SYBR,19.020546,0,,Amp,FALSE,0,0,,,,,
C18,FALSE,Bd+P_DNase_3_T36,Target 1,Unknown,SYBR,18.609896,0,,Amp,FALSE,0,0,,,,,
C19,FALSE,media_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C20,FALSE,media_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C21,FALSE,media_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C22,FALSE,media+P_1_T36,Target 1,Unknown,SYBR,31.952597,0.9098379696228380,,Amp,FALSE,0,0,,,,,
C23,FALSE,media+P_2_T36,Target 1,Unknown,SYBR,30.643831,0.9119344848181220,,Amp,FALSE,0,0,,,,,
C24,FALSE,media+P_3_T36,Target 1,Unknown,SYBR,31.790007,0.9350911037119060,,Amp,FALSE,0,0,,,,,
D1,FALSE,Bv+P_DNase_1_T24,Target 1,Unknown,SYBR,33.071075,0.6265350824459620,,No Amp,FALSE,0,0,,,,,
D2,FALSE,Bv+P_DNase_2_T24,Target 1,Unknown,SYBR,33.330456,0.7616934140981630,,Amp,FALSE,0,0,,,,,
D3,FALSE,Bv+P_DNase_3_T24,Target 1,Unknown,SYBR,32.100983,0.6290860502033610,,No Amp,FALSE,0,0,,,,,
D4,FALSE,Bd+P_DNase_1_T24,Target 1,Unknown,SYBR,20.675259,0,,Amp,FALSE,0,0,,,,,
D5,FALSE,Bd+P_DNase_2_T24,Target 1,Unknown,SYBR,18.273623,0,,Amp,FALSE,0,0,,,,,
D6,FALSE,Bd+P_DNase_3_T24,Target 1,Unknown,SYBR,19.4993,0,,Amp,FALSE,0,0,,,,,
D7,FALSE,media_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D8,FALSE,media_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D9,FALSE,media_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D10,FALSE,media+P_1_T24,Target 1,Unknown,SYBR,32.38334,0.8688149236027740,,Amp,FALSE,0,0,,,,,
D11,FALSE,media+P_2_T24,Target 1,Unknown,SYBR,31.476238,0.99165419482665,,Amp,FALSE,0,0,,,,,
D12,FALSE,media+P_3_T24,Target 1,Unknown,SYBR,31.836742,0.9837449560346670,,Amp,FALSE,0,0,,,,,
D13,FALSE,Bv+P_DNase_1_T36,Target 1,Unknown,SYBR,30.748846,0.026825922202277700,,No Amp,FALSE,0,0,,,,,
D14,FALSE,Bv+P_DNase_2_T36,Target 1,Unknown,SYBR,34.17658,0.7061477562573270,,No Amp,FALSE,0,0,,,,,
D15,FALSE,Bv+P_DNase_3_T36,Target 1,Unknown,SYBR,34.08058,0.43875653462463900,,No Amp,FALSE,0,0,,,,,
D16,FALSE,Bd+P_DNase_1_T36,Target 1,Unknown,SYBR,20.378946,0,,Amp,FALSE,0,0,,,,,
D17,FALSE,Bd+P_DNase_2_T36,Target 1,Unknown,SYBR,19.931799,0,,Amp,FALSE,0,0,,,,,
D18,FALSE,Bd+P_DNase_3_T36,Target 1,Unknown,SYBR,19.915829,0,,Amp,FALSE,0,0,,,,,
D19,FALSE,media_1_T36,Target 1,Unknown,SYBR,36.232525,0.9656062134487880,,Amp,FALSE,0,0,,,,,
D20,FALSE,media_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D21,FALSE,media_3_T36,Target 1,Unknown,SYBR,38.26781,0.912830879403513,,Amp,FALSE,0,0,,,,,
D22,FALSE,media+P_1_T36,Target 1,Unknown,SYBR,31.41269,0.9829789820904250,,Amp,FALSE,0,0,,,,,
D23,FALSE,media+P_2_T36,Target 1,Unknown,SYBR,31.815216,0.9065960920189220,,Amp,FALSE,0,0,,,,,
D24,FALSE,media+P_3_T36,Target 1,Unknown,SYBR,32.12824,0.8831282930850280,,Amp,FALSE,0,0,,,,,
E1,FALSE,media+P_DNase_1_T24,Target 1,Unknown,SYBR,36.114426,0.7872363947605390,,Amp,FALSE,0,0,,,,,
E2,FALSE,media+P_DNase_2_T24,Target 1,Unknown,SYBR,28.720856,0.9549565388316950,,Amp,FALSE,0,0,,,,,
E3,FALSE,media+P_DNase_3_T24,Target 1,Unknown,SYBR,34.391514,0.9780040441213980,,Amp,FALSE,0,0,,,,,
E4,FALSE,Bv_sup_v_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E5,FALSE,Bv_sup_v_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E6,FALSE,Bv_sup_v_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E7,FALSE,Bv+P_sup_v_pel_1_T24,Target 1,Unknown,SYBR,22.249403,0,,Amp,FALSE,0,0,,,,,
E8,FALSE,Bv+P_sup_v_pel_2_T24,Target 1,Unknown,SYBR,23.652426,0.08232955462736420,,Amp,FALSE,0,0,,,,,
E9,FALSE,Bv+P_sup_v_pel_3_T24,Target 1,Unknown,SYBR,22.997587,0,,Amp,FALSE,0,0,,,,,
E10,FALSE,Bd_sup_v_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E11,FALSE,Bd_sup_v_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E12,FALSE,Bd_sup_v_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E13,FALSE,media+P_DNase_1_T36,Target 1,Unknown,SYBR,35.150097,0.9618702313034510,,Amp,FALSE,0,0,,,,,
E14,FALSE,media+P_DNase_2_T36,Target 1,Unknown,SYBR,27.845654,0.41778068476570800,,Amp,FALSE,0,0,,,,,
E15,FALSE,media+P_DNase_3_T36,Target 1,Unknown,SYBR,34.869553,0.9826897478245760,,Amp,FALSE,0,0,,,,,
E16,FALSE,Bv_sup_v_pel_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E17,FALSE,Bv_sup_v_pel_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E18,FALSE,Bv_sup_v_pel_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E19,FALSE,Bv+P_sup_v_pel_1_T36,Target 1,Unknown,SYBR,21.524258,0,,Amp,FALSE,0,0,,,,,
E20,FALSE,Bv+P_sup_v_pel_2_T36,Target 1,Unknown,SYBR,21.259287,0,,Amp,FALSE,0,0,,,,,
E21,FALSE,Bv+P_sup_v_pel_3_T36,Target 1,Unknown,SYBR,20.70978,0,,Amp,FALSE,0,0,,,,,
E22,FALSE,Bd_sup_v_pel_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E23,FALSE,Bd_sup_v_pel_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E24,FALSE,Bd_sup_v_pel_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F1,FALSE,media+P_DNase_1_T24,Target 1,Unknown,SYBR,34.974186,0.8642360469959310,,Amp,FALSE,0,0,,,,,
F2,FALSE,media+P_DNase_2_T24,Target 1,Unknown,SYBR,29.211536,0.9289359119274250,,Amp,FALSE,0,0,,,,,
F3,FALSE,media+P_DNase_3_T24,Target 1,Unknown,SYBR,35.10505,0.9614473561965700,,Amp,FALSE,0,0,,,,,
F4,FALSE,Bv_sup_v_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F5,FALSE,Bv_sup_v_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F6,FALSE,Bv_sup_v_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F7,FALSE,Bv+P_sup_v_pel_1_T24,Target 1,Unknown,SYBR,22.655336,0.04983279522736210,,Amp,FALSE,0,0,,,,,
F8,FALSE,Bv+P_sup_v_pel_2_T24,Target 1,Unknown,SYBR,23.72911,0.1495298250141040,,Amp,FALSE,0,0,,,,,
F9,FALSE,Bv+P_sup_v_pel_3_T24,Target 1,Unknown,SYBR,23.247515,0.08670024464564620,,Amp,FALSE,0,0,,,,,
F10,FALSE,Bd_sup_v_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F11,FALSE,Bd_sup_v_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F12,FALSE,Bd_sup_v_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F13,FALSE,media+P_DNase_1_T36,Target 1,Unknown,SYBR,35.549896,0.7464220671651560,,Amp,FALSE,0,0,,,,,
F14,FALSE,media+P_DNase_2_T36,Target 1,Unknown,SYBR,27.64041,0.27072011044933700,,Amp,FALSE,0,0,,,,,
F15,FALSE,media+P_DNase_3_T36,Target 1,Unknown,SYBR,35.05936,0.9632949811354980,,Amp,FALSE,0,0,,,,,
F16,FALSE,Bv_sup_v_pel_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F17,FALSE,Bv_sup_v_pel_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F18,FALSE,Bv_sup_v_pel_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F19,FALSE,Bv+P_sup_v_pel_1_T36,Target 1,Unknown,SYBR,22.027138,0,,Amp,FALSE,0,0,,,,,
F20,FALSE,Bv+P_sup_v_pel_2_T36,Target 1,Unknown,SYBR,22.517323,0,,Amp,FALSE,0,0,,,,,
F21,FALSE,Bv+P_sup_v_pel_3_T36,Target 1,Unknown,SYBR,22.28967,0,,Amp,FALSE,0,0,,,,,
F22,FALSE,Bd_sup_v_pel_1_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F23,FALSE,Bd_sup_v_pel_2_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
F24,FALSE,Bd_sup_v_pel_3_T36,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G1,FALSE,Bd+P_sup_v_pel_1_T24,Target 1,Unknown,SYBR,18.412722,0,,Amp,FALSE,0,0,,,,,
G2,FALSE,Bd+P_sup_v_pel_2_T24,Target 1,Unknown,SYBR,18.347383,0,,Amp,FALSE,0,0,,,,,
G3,FALSE,Bd+P_sup_v_pel_3_T24,Target 1,Unknown,SYBR,17.578672,0,,Amp,FALSE,0,0,,,,,
G4,FALSE,std_-2,Target 1,Unknown,SYBR,9.121387,0.9853501597672680,,Amp,FALSE,0,0,,,,,
G5,FALSE,std_-3,Target 1,Unknown,SYBR,12.940877,0.9904565103888370,,Amp,FALSE,0,0,,,,,
G6,FALSE,std_-4,Target 1,Unknown,SYBR,16.747025,0.9904862646846020,,Amp,FALSE,0,0,,,,,
G7,FALSE,std_-5,Target 1,Unknown,SYBR,21.168344,0.9884636190911190,,Amp,FALSE,0,0,,,,,
G8,FALSE,std_-6,Target 1,Unknown,SYBR,23.902662,0.9214271735069050,,Amp,FALSE,0,0,,,,,
G9,FALSE,std_-7,Target 1,Unknown,SYBR,28.976864,0.9948871506349820,,Amp,FALSE,0,0,,,,,
G10,FALSE,std_-8,Target 1,Unknown,SYBR,33.595932,0.986913187742447,,Amp,FALSE,0,0,,,,,
G11,FALSE,std_-9,Target 1,Unknown,SYBR,37.709534,0.9066891797499490,,No Amp,FALSE,0,0,,,,,
G12,FALSE,std_-10,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
G13,FALSE,Bd+P_sup_v_pel_1_T36,Target 1,Unknown,SYBR,15.930927,0,,Amp,FALSE,0,0,,,,,
G14,FALSE,Bd+P_sup_v_pel_2_T36,Target 1,Unknown,SYBR,16.540747,0,,Amp,FALSE,0,0,,,,,
G15,FALSE,Bd+P_sup_v_pel_3_T36,Target 1,Unknown,SYBR,18.93761,0,,Amp,FALSE,0,0,,,,,
G16,FALSE,0,Target 1,Unknown,SYBR,35.058937,0.9658220507727380,,Amp,FALSE,0,0,,,,,
G17,FALSE,std_-11,Target 1,Unknown,SYBR,33.98172,0.9845383277322120,,Amp,FALSE,0,0,,,,,
G18,FALSE,std_-12,Target 1,Unknown,SYBR,35.47484,0.9048488342485880,,Amp,FALSE,0,0,,,,,
