Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,
C4,FALSE,Bv+P_sup_1_T12,Target 1,Unknown,SYBR,28.985071,0.9576051454702650,,Amp,FALSE,0,0,,,,,
C5,FALSE,Bv+P_sup_2_T12,Target 1,Unknown,SYBR,28.758656,0.9558578004601110,,Amp,FALSE,0,0,,,,,
C6,FALSE,Bv+P_sup_3_T12,Target 1,Unknown,SYBR,28.503767,0.8955612734113500,,Amp,FALSE,0,0,,,,,
C7,FALSE,Bd_sup_1_T12,Target 1,Unknown,SYBR,35.559265,0.9842858092009670,,Amp,FALSE,0,0,,,,,
C8,FALSE,Bd_sup_2_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C9,FALSE,Bd_sup_3_T12,Target 1,Unknown,SYBR,35.509754,0.9789728048955990,,Amp,FALSE,0,0,,,,,
C10,FALSE,Bd+P_sup_1_T12,Target 1,Unknown,SYBR,27.99291,0.951967489992575,,Amp,FALSE,0,0,,,,,
C11,FALSE,Bd+P_sup_2_T12,Target 1,Unknown,SYBR,27.963274,0.9377010734560010,,Amp,FALSE,0,0,,,,,
C12,FALSE,Bd+P_sup_3_T12,Target 1,Unknown,SYBR,28.019587,0.9899433109509950,,Amp,FALSE,0,0,,,,,
C13,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C14,FALSE,0,Target 1,Unknown,SYBR,6.60338,0.7905399500793330,,No Amp,FALSE,0,0,,,,,
C15,FALSE,0,Target 1,Unknown,SYBR,34.105938,0.46575741880219500,,No Amp,FALSE,0,0,,,,,
C16,FALSE,0,Target 1,Unknown,SYBR,23.73122,0,,No Amp,FALSE,0,0,,,,,
C17,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C18,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C20,FALSE,0,Target 1,Unknown,SYBR,5.9954762,0,,No Amp,FALSE,0,0,,,,,
C21,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C22,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C23,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
C24,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D1,FALSE,Bv_sup_1_T12,Target 1,Unknown,SYBR,37.912186,0.9332951422283020,,No Amp,FALSE,0,0,,,,,
D2,FALSE,Bv_sup_2_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D3,FALSE,Bv_sup_3_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D4,FALSE,Bv+P_sup_1_T12,Target 1,Unknown,SYBR,28.329979,0.9914572178820330,,Amp,FALSE,0,0,,,,,
D5,FALSE,Bv+P_sup_2_T12,Target 1,Unknown,SYBR,28.920816,0.9002355452160990,,Amp,FALSE,0,0,,,,,
D6,FALSE,Bv+P_sup_3_T12,Target 1,Unknown,SYBR,28.457367,0.9240598971362950,,Amp,FALSE,0,0,,,,,
D7,FALSE,Bd_sup_1_T12,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D8,FALSE,Bd_sup_2_T12,Target 1,Unknown,SYBR,34.255054,0.9819770610501110,,Amp,FALSE,0,0,,,,,
D9,FALSE,Bd_sup_3_T12,Target 1,Unknown,SYBR,37.28839,0.9566636924076510,,Amp,FALSE,0,0,,,,,
D10,FALSE,Bd+P_sup_1_T12,Target 1,Unknown,SYBR,27.894802,0.9814646065330110,,Amp,FALSE,0,0,,,,,
D11,FALSE,Bd+P_sup_2_T12,Target 1,Unknown,SYBR,27.796951,0.9886226179933230,,Amp,FALSE,0,0,,,,,
D12,FALSE,Bd+P_sup_3_T12,Target 1,Unknown,SYBR,27.956318,0.9896845160116560,,Amp,FALSE,0,0,,,,,
D13,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D14,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D15,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D16,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D17,FALSE,0,Target 1,Unknown,SYBR,16.337044,0.6802111628483710,,No Amp,FALSE,0,0,,,,,
D18,FALSE,0,Target 1,Unknown,SYBR,17.08991,0,,No Amp,FALSE,0,0,,,,,
D19,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D20,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D21,FALSE,0,Target 1,Unknown,SYBR,30.999636,0.4674488880905370,,No Amp,FALSE,0,0,,,,,
D22,FALSE,0,Target 1,Unknown,SYBR,24.264145,0,,No Amp,FALSE,0,0,,,,,
D23,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
D24,FALSE,0,Target 1,Unknown,SYBR,21.041834,0.011407270334853400,,No Amp,FALSE,0,0,,,,,
E1,FALSE,std_-2,Target 1,Unknown,SYBR,9.408862,0.9859909160605090,,Amp,FALSE,0,0,,,,,
E2,FALSE,std_-3,Target 1,Unknown,SYBR,13.200939,0.9632059991736570,,Amp,FALSE,0,0,,,,,
E3,FALSE,std_-4,Target 1,Unknown,SYBR,17.825909,0.9405497264212210,,Amp,FALSE,0,0,,,,,
E4,FALSE,std_-5,Target 1,Unknown,SYBR,22.542347,0.9890330314459090,,Amp,FALSE,0,0,,,,,
E5,FALSE,std_-6,Target 1,Unknown,SYBR,22.682976,0.9652898876249990,,Amp,FALSE,0,0,,,,,
E6,FALSE,std_-7,Target 1,Unknown,SYBR,29.664503,0.9835334691536220,,Amp,FALSE,0,0,,,,,
E7,FALSE,std_-8,Target 1,Unknown,SYBR,35.033882,0.9770049984744760,,Amp,FALSE,0,0,,,,,
E8,FALSE,std_-9,Target 1,Unknown,SYBR,36.047497,0.9181877804151370,,Amp,FALSE,0,0,,,,,
E9,FALSE,std_-10,Target 1,Unknown,SYBR,36.82547,0.9822280348930660,,Amp,FALSE,0,0,,,,,
E10,FALSE,std_-11,Target 1,Unknown,SYBR,38.28877,0.9464198436567830,,No Amp,FALSE,0,0,,,,,
E11,FALSE,std_-12,Target 1,Unknown,SYBR,36.767487,0.9728528182665500,,Amp,FALSE,0,0,,,,,
E12,FALSE,water,Target 1,Unknown,SYBR,34.873894,0.9875784725515110,,Amp,FALSE,0,0,,,,,
E13,FALSE,0,Target 1,Unknown,SYBR,19.780703,0.46543644861985000,,No Amp,FALSE,0,0,,,,,
E14,FALSE,0,Target 1,Unknown,SYBR,19.16369,0.42908237413381800,,No Amp,FALSE,0,0,,,,,
E15,FALSE,0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,
E16,FALSE,0,Target 1,Unknown,SYBR,10.709388,0,,No Amp,FALSE,0,0,,,,,
