Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
B24,FALSE,Bd+P_pel_3_T0,Target 1,Unknown,SYBR,31.970428,0.9688829751388670,,Amp,FALSE,0,0,,,,,,
C1,FALSE,Bv+P_DNase_1_T44,Target 1,Unknown,SYBR,32.290733,0.498370759778168,,Inconclusive,FALSE,0,0,,,,,,
C2,FALSE,Bv+P_DNase_2_T44,Target 1,Unknown,SYBR,32.469025,0.6837173630944730,,Inconclusive,FALSE,0,0,,,,,,
C3,FALSE,Bv+P_DNase_3_T44,Target 1,Unknown,SYBR,37.220356,0.4946976980119240,,Inconclusive,FALSE,0,0,,,,,,
C4,FALSE,Bd+P_DNase_1_T44,Target 1,Unknown,SYBR,19.100504,0,,Amp,FALSE,0,0,,,,,,
C5,FALSE,Bd+P_DNase_2_T44,Target 1,Unknown,SYBR,18.30363,0,,Amp,FALSE,0,0,,,,,,
C6,FALSE,Bd+P_DNase_3_T44,Target 1,Unknown,SYBR,19.580278,0,,Amp,FALSE,0,0,,,,,,
C7,FALSE,media_1_T44,Target 1,Unknown,SYBR,38.432095,0.4295911886874240,,Inconclusive,FALSE,0,0,,,,,,
C8,FALSE,media_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C9,FALSE,media_3_T44,Target 1,Unknown,SYBR,36.311993,0.9724406151597110,,Amp,FALSE,0,0,,,,,,
C10,FALSE,media+P_1_T44,Target 1,Unknown,SYBR,31.153637,0.9819693589833470,,Amp,FALSE,0,0,,,,,,
C11,FALSE,media+P_2_T44,Target 1,Unknown,SYBR,30.998306,0.9012546732816810,,Amp,FALSE,0,0,,,,,,
C12,FALSE,media+P_3_T44,Target 1,Unknown,SYBR,31.42918,0.978762208050058,,Amp,FALSE,0,0,,,,,,
C13,FALSE,Bv_sup_1_T0,Target 1,Unknown,SYBR,36.30837,0.801421319236335,,Amp,FALSE,0,0,,,,,,
C14,FALSE,Bv_sup_2_T0,Target 1,Unknown,SYBR,36.38076,0.9462060021503090,,Amp,FALSE,0,0,,,,,,
C15,FALSE,Bv_sup_3_T0,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C16,FALSE,Bv+P_sup_1_T0,Target 1,Unknown,SYBR,33.116245,0.8616922437245370,,Amp,FALSE,0,0,,,,,,
C17,FALSE,Bv+P_sup_2_T0,Target 1,Unknown,SYBR,31.159649,0.9865953682301100,,Amp,FALSE,0,0,,,,,,
