Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
B22,FALSE,Bd+P_1_T12,Bd+P_1_T12,Unknown,SYBR,25.143875,0.47382459140720500,,Amp,FALSE,0,0,,,,,,
B23,FALSE,Bd+P_2_T12,Bd+P_2_T12,Unknown,SYBR,25.583916,0.5157435613443380,,Amp,FALSE,0,0,,,,,,
B24,FALSE,Bd+P_3_T12,Bd+P_3_T12,Unknown,SYBR,24.047018,0.21731989548856500,,Amp,FALSE,0,0,,,,,,
C1,FALSE,Bv+P_DNase_1_T0,Bv+P_DNase_1_T0,Unknown,SYBR,30.171284,0.9065034517934480,,Amp,FALSE,0,0,,,,,,
C2,FALSE,Bv+P_DNase_2_T0,Bv+P_DNase_2_T0,Unknown,SYBR,31.415554,0.966304946496772,,Amp,FALSE,0,0,,,,,,
C3,FALSE,Bv+P_DNase_3_T0,Bv+P_DNase_3_T0,Unknown,SYBR,29.35311,0.9819725612435940,,Amp,FALSE,0,0,,,,,,
C4,FALSE,Bd+P_DNase_1_T0,Bd+P_DNase_1_T0,Unknown,SYBR,29.334608,0.9922247292360150,,Amp,FALSE,0,0,,,,,,
C5,FALSE,Bd+P_DNase_2_T0,Bd+P_DNase_2_T0,Unknown,SYBR,29.123196,0.9922485670638510,,Amp,FALSE,0,0,,,,,,
C6,FALSE,Bd+P_DNase_3_T0,Bd+P_DNase_3_T0,Unknown,SYBR,29.291994,0.9926792293825850,,Amp,FALSE,0,0,,,,,,
C7,FALSE,media_1_T0,media_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C8,FALSE,media_2_T0,media_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C9,FALSE,media_3_T0,media_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C10,FALSE,media+P_1_T0,media+P_1_T0,Unknown,SYBR,31.558016,0.9829749586926900,,Amp,FALSE,0,0,,,,,,
C11,FALSE,media+P_2_T0,media+P_2_T0,Unknown,SYBR,32.41932,0.9801686286790250,,Amp,FALSE,0,0,,,,,,
C12,FALSE,media+P_3_T0,media+P_3_T0,Unknown,SYBR,32.962055,0.9185008670866910,,Amp,FALSE,0,0,,,,,,
C13,FALSE,Bv+P_DNase_1_T12,Bv+P_DNase_1_T12,Unknown,SYBR,28.035711,0.4550084309193830,,Amp,FALSE,0,0,,,,,,
C14,FALSE,Bv+P_DNase_2_T12,Bv+P_DNase_2_T12,Unknown,SYBR,27.750744,0.12354898231932200,,Amp,FALSE,0,0,,,,,,
C15,FALSE,Bv+P_DNase_3_T12,Bv+P_DNase_3_T12,Unknown,SYBR,28.158838,0.9028343817811010,,Amp,FALSE,0,0,,,,,,
C16,FALSE,Bd+P_DNase_1_T12,Bd+P_DNase_1_T12,Unknown,SYBR,27.459976,0.36588256453885800,,Amp,FALSE,0,0,,,,,,
C17,FALSE,Bd+P_DNase_2_T12,Bd+P_DNase_2_T12,Unknown,SYBR,27.38468,0.2919921105361140,,Amp,FALSE,0,0,,,,,,
C18,FALSE,Bd+P_DNase_3_T12,Bd+P_DNase_3_T12,Unknown,SYBR,26.1421,0.514770204864707,,Amp,FALSE,0,0,,,,,,
C19,FALSE,media_1_T12,media_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C20,FALSE,media_2_T12,media_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C21,FALSE,media_3_T12,media_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
C22,FALSE,media+P_1_T12,media+P_1_T12,Unknown,SYBR,30.814466,0.978440310586235,,Amp,FALSE,0,0,,,,,,
C23,FALSE,media+P_2_T12,media+P_2_T12,Unknown,SYBR,31.329418,0.870832675797079,,Amp,FALSE,0,0,,,,,,
C24,FALSE,media+P_3_T12,media+P_3_T12,Unknown,SYBR,31.936974,0.863210694785188,,Amp,FALSE,0,0,,,,,,
D1,FALSE,Bv+P_DNase_1_T0,Bv+P_DNase_1_T0,Unknown,SYBR,29.672474,0.9828999440628360,,Amp,FALSE,0,0,,,,,,
D2,FALSE,Bv+P_DNase_2_T0,Bv+P_DNase_2_T0,Unknown,SYBR,30.784138,0.9352209210324960,,Amp,FALSE,0,0,,,,,,
D3,FALSE,Bv+P_DNase_3_T0,Bv+P_DNase_3_T0,Unknown,SYBR,29.549625,0.9848317939407200,,Amp,FALSE,0,0,,,,,,
D4,FALSE,Bd+P_DNase_1_T0,Bd+P_DNase_1_T0,Unknown,SYBR,28.78132,0.9931546224529340,,Amp,FALSE,0,0,,,,,,
D5,FALSE,Bd+P_DNase_2_T0,Bd+P_DNase_2_T0,Unknown,SYBR,28.802057,0.9911810552091730,,Amp,FALSE,0,0,,,,,,
D6,FALSE,Bd+P_DNase_3_T0,Bd+P_DNase_3_T0,Unknown,SYBR,29.234997,0.9929577099496700,,Amp,FALSE,0,0,,,,,,
D7,FALSE,media_1_T0,media_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D8,FALSE,media_2_T0,media_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D9,FALSE,media_3_T0,media_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D10,FALSE,media+P_1_T0,media+P_1_T0,Unknown,SYBR,31.544804,0.9092797468258280,,Amp,FALSE,0,0,,,,,,
D11,FALSE,media+P_2_T0,media+P_2_T0,Unknown,SYBR,32.433426,0.8573225362451520,,Amp,FALSE,0,0,,,,,,
D12,FALSE,media+P_3_T0,media+P_3_T0,Unknown,SYBR,32.918476,0.8681882776328380,,Amp,FALSE,0,0,,,,,,
D13,FALSE,Bv+P_DNase_1_T12,Bv+P_DNase_1_T12,Unknown,SYBR,27.89532,0.5754989559515770,,Amp,FALSE,0,0,,,,,,
D14,FALSE,Bv+P_DNase_2_T12,Bv+P_DNase_2_T12,Unknown,SYBR,26.310028,0,,Amp,FALSE,0,0,,,,,,
D15,FALSE,Bv+P_DNase_3_T12,Bv+P_DNase_3_T12,Unknown,SYBR,30.615255,0.9576259905641580,,Amp,FALSE,0,0,,,,,,
D16,FALSE,Bd+P_DNase_1_T12,Bd+P_DNase_1_T12,Unknown,SYBR,26.105673,0.12077947878863400,,Amp,FALSE,0,0,,,,,,
D17,FALSE,Bd+P_DNase_2_T12,Bd+P_DNase_2_T12,Unknown,SYBR,26.152681,0.18570039190773400,,Amp,FALSE,0,0,,,,,,
